Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,8.66687,0,0,0,0,44.88643,-93.30928,-1
1.011,0,10.630836,1287.5,0,5.490196,86,0,127.4,0.8101694,-9.282415,8.425789,34.371414,0,0,0,44.88643,-93.30928,-1
2.009,0,10.630836,1224,0,5.490196,86,0,127.4,0.7721448,-9.282415,7.9918427,34.292534,0,0,0,44.88643,-93.30927,-1
3.017,0,10.630836,1151.25,0,5.098039,86,0,127.4,0.72768056,-9.282415,7.5699506,34.53484,0,0,0,44.88643,-93.30927,-1
4.001,0,10.630836,1089.5,0,5.098039,86,0,127.4,0.68858266,-9.282415,7.1360044,34.400276,0,0,0,44.88643,-93.309265,-1
5.015,0,10.630836,1032,0,4.7058825,86,0,127.4,0.65025145,-9.282415,6.7864366,34.537918,0,0,0,44.88643,-93.309265,-1
5.999,0,10.630836,981.25,0,4.7058825,86,0,127.4,0.61376005,-9.282415,6.3524904,34.001526,0,0,0,44.88643,-93.30926,-1
6.994,0,10.630836,962,0,4.3137255,86,0,127.4,0.60180074,-9.282415,6.2468634,34.105232,0,0,0,44.88643,-93.30926,-1
8.018,0,10.335535,910,0,4.3137255,86,0,127.4,0.5549727,-9.427453,5.8762455,33.915062,0,0,0,44.88643,-93.30925,-1
8.999,0,10.926137,880.75,0,4.3137255,86,0,127.4,0.5619447,-9.137378,5.686139,33.907745,0,0,0,44.886433,-93.30925,-1
10.004,0,11.221438,866.5,0,4.3137255,86,0,127.4,0.5617573,-8.99234,5.480907,33.2214,0,0,0,44.886433,-93.30925,-1
