Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,7.677826,1581.5,0,5.490196,71.6,0,77,0.7002865,-10.732793,8.582492,28.502192,0,0,0,45.058064,-92.95466,-1
0.946,0,7.677826,1581.5,0,5.490196,71.6,0,77,0.7002865,-10.732793,8.582492,28.502192,0,0,0,45.058064,-92.95466,-1
2.947,0,7.973127,1576.75,0,5.490196,71.6,0,77,0.72745055,-10.587755,8.510167,28.347145,0,0,0,45.058064,-92.95466,-1
6.006,0,7.677826,1575.75,0,5.490196,71.6,0,77,0.6991791,-10.732793,8.425789,28.083895,0,0,0,45.058064,-92.95466,-1
6.957,0,7.677826,1575.75,0,5.490196,71.6,0,77,0.6991791,-10.732793,8.425789,28.083895,0,0,0,45.058064,-92.95466,-1
7.999,0,7.677826,1575,0,5.490196,71.6,0,77,0.69796103,-10.732793,8.510167,28.378641,0,0,0,45.058064,-92.95466,-1
8.956,0,7.677826,1575,0,5.490196,71.6,0,77,0.69796103,-10.732793,8.510167,28.378641,0,0,0,45.05807,-92.95466,-1
10.004,0,7.677826,1575,0,5.490196,71.6,0,77,0.69796103,-10.732793,8.510167,28.378641,0,0,0,45.05807,-92.95466,-1
10.960,0,7.677826,1573.25,0,5.490196,71.6,0,77,0.69762886,-10.732793,8.425789,28.128521,0,0,0,45.05807,-92.95465,-1
11.995,0,7.677826,1573.25,0,5.490196,71.6,0,77,0.69762886,-10.732793,8.425789,28.128521,0,0,0,45.058075,-92.95465,-1
12.945,0,7.677826,1573.25,0,5.490196,71.6,0,77,0.69762886,-10.732793,8.425789,28.128521,0,0,0,45.058075,-92.95465,-1
13.994,0,7.973127,1568.75,0,5.490196,71.6,0,77,0.72365576,-10.587755,8.341411,27.926714,0,0,0,45.058075,-92.95465,-1
