Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058083,-92.95465,-1
0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05809,-92.95465,-1
1.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05808,-92.95465,97.734375
2.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058086,-92.95465,-1
3.964,0,21.568628,73.4,8.85903,1622.5,0,29.5301,626.9,5.882353,60.8,0,68,64.4,0,-10.152641,9.582979,31.020578,0,0.00018972473,0,0,45.05809,-92.95466,-1
4.917,0,21.568628,73.4,8.85903,1622.5,0,29.5301,626.9,5.882353,60.8,0,68,64.4,0,-10.152641,9.582979,31.020578,0,0.00018972473,0,0,45.058094,-92.95466,-1
5.998,0,21.17647,73.4,8.268428,1596,0,29.5301,642.74,5.882353,60.8,0,68,64.4,0.77395064,-10.442718,9.173141,30.18695,0,0.0010060592,0,0,45.05809,-92.95466,-1
6.919,0,21.17647,73.4,8.268428,1596,0,29.5301,642.74,5.882353,60.8,0,68,64.4,0.77395064,-10.442718,9.173141,30.18695,0,0.0010060592,0,0,45.058094,-92.95466,28.125
7.982,0,21.17647,73.4,8.268428,1598.5,0,29.5301,646.88,5.882353,60.8,0,68,64.4,0.76130986,-10.442718,9.076708,29.822895,0,0.0013856504,0,0,45.058094,-92.95466,-1
8.906,0,23.921568,73.4,9.154331,1559.75,0,29.5301,650.3,6.6666665,60.8,0,68,64.4,0.84419906,-10.007604,9.076708,30.563807,0,0.0016410372,0,0,45.0581,-92.95466,-1
