# StartTime = 08/13/2024 06:16:25.0457 AM
Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,16.815243,0,0,0,0,39.146385,0,0,0,0,0,0,0,0,0,31.919874,0,0.0044446676,0.0003780078,11.758137,1.6665765,45.054974,-92.963295,229.96645
0.999,16.815243,0,0,0,0,39.146385,0,0,0,0,0,0,0,0,0,31.919874,0,0.0044446676,0.0003780078,11.758137,1.6665765,45.05487,-92.96346,229.96645
2.017,27.70135,16.078432,122,14.174448,1988.25,39.767757,29.5301,877.64,11.372549,62.6,6.27451,102.2,64.4,1.8049421,-7.541962,19.683523,51.995518,0.022182161,0.0009822013,22.584127,0.86768174,45.054768,-92.96364,229.96645
2.999,21.099688,23.529411,122,15.355652,2030.25,39.767757,29.5301,880.7,14.117647,62.6,8.235294,102.2,64.4,1.7613467,-6.9618115,25.842094,66.85167,0.031638242,0.0014347612,22.051226,0.8886506,45.054665,-92.96382,229.96645
3.996,11.392847,50.19608,122,30.120703,2665.25,39.767757,29.5301,884.12,32.941177,62.6,14.117647,102.2,64.4,3.5279322,0.29007548,47.859867,94.31214,0.04137695,0.0022576314,18.327593,1.0691985,45.05456,-92.964,230.55692
5.010,6.6926703,68.62745,122,38.68443,2952.5,41.010498,29.5301,886.46,18.039215,62.6,10.588235,102.2,64.4,5.9481206,4.49617,84.01721,149.45567,0.051185578,0.0037597553,13.614072,1.439381,45.05445,-92.96418,230.09584
6.003,9.301571,48.627453,122,30.120703,2546,42.87461,29.5301,892.58,7.0588236,62.6,2.745098,102.2,64.4,5.130511,0.29007548,63.19992,130.37437,0.06258432,0.0049794265,12.56858,1.5591129,45.054333,-92.96437,229.98448
6.986,29.919025,29.411764,122,18.308662,1958.25,44.117355,29.5301,898.34,11.764706,62.6,5.882353,102.2,64.4,2.6891847,-5.511434,20.217836,54.225132,0.0732297,0.005332473,13.732783,1.4269383,45.054214,-92.96456,229.98448
7.999,23.607416,37.2549,122,21.261671,1977.25,44.117355,29.5301,903.92,14.90196,62.6,7.8431373,102.2,64.4,2.4019897,-4.0610566,25.623217,68.062225,0.08244274,0.005746848,14.345732,1.3659697,45.054096,-92.96475,230.04007
9.002,18.760654,40,122,23.91938,2039.25,44.117355,29.5301,906.8,7.8431373,62.6,7.8431373,102.2,64.4,2.7284572,-2.755717,32.2429,83.041985,0.09263302,0.0062578158,14.802771,1.3237951,45.05398,-92.96494,230.04007
