# StartTime = 08/13/2024 03:00:35.0499 PM
Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.00793,0,0,0.00012618312,0,0,44.860546,-93.341896,221.18808
3.986,0,47.058823,98.6,18.899263,1575.75,0,29.5301,600.62,10.196078,91.4,0,93.2,95,1.701976,-5.221359,20.601843,68.667755,0,0.0008280785,0,0,44.860546,-93.341896,221.18808
4.986,0,47.058823,98.6,18.899263,1575.75,0,29.5301,600.62,10.196078,91.4,0,93.2,95,1.701976,-5.221359,20.601843,68.667755,0,0.0008280785,0,0,44.860546,-93.341896,221.18808
5.994,0,45.882355,98.6,18.899263,1563.5,0,29.5301,622.04,9.803922,91.4,0,93.2,95,1.718058,-5.221359,20.16685,67.74453,0,0.0018023934,0,0,44.860546,-93.341896,221.18808
12.985,0,57.64706,98.6,22.147575,1116.25,0,29.5301,678.56,9.411765,91.4,0,93.2,95,1.424645,-3.6259434,15.522042,73.033394,0,0.0046933773,0,0,44.86055,-93.341896,221.18808
13.980,0,51.372547,98.6,21.261671,1102.75,0,29.5301,685.94,9.019608,91.4,0,93.2,95,1.3691925,-4.0610566,15.277635,72.76342,0,0.004906437,0,0,44.86055,-93.341896,221.18808
14.985,0,52.54902,98.6,21.852274,1099,0,29.5301,692.96,9.019608,91.4,0,93.2,95,1.3902065,-3.770981,15.384399,73.521935,0,0.005234724,0,0,44.86055,-93.341896,221.18808
17.987,0,45.882355,98.6,19.194565,1113.5,0,29.5301,706.46,8.235294,91.4,0,95,96.8,1.2623761,-5.0763206,13.765575,64.928925,0,0.0057511507,0,0,44.86055,-93.341896,221.18808
19.000,1.900654,43.92157,98.6,18.013361,1131.75,1.8641136,29.5301,719.06,7.0588236,91.4,0,95,96.8,1.1477996,-5.6564717,13.447513,62.40588,0.0005128903,0.0064111697,0.07999949,244.9495,44.86055,-93.341896,221.18808
21.982,11.382095,21.568628,98.6,10.630836,1261.5,6.2137117,29.5301,734.36,6.6666665,91.4,3.137255,95,96.8,0.95935464,-9.282415,7.485168,31.163652,0.0040462427,0.007017323,0.5766077,33.98469,44.86047,-93.341934,200.26321
22.982,7.272862,43.92157,98.6,19.489866,1391.75,6.835083,29.5301,736.52,14.117647,91.4,4.7058825,95,96.8,1.4184098,-4.931283,12.885792,48.627724,0.0055401637,0.0072230683,0.76700974,25.548351,44.860447,-93.341965,209.46964
23.983,4.835507,41.568626,98.6,18.603964,1780.75,7.4564543,29.5301,740.66,6.6666665,91.4,0.39215687,95,96.8,1.4937307,-5.3663964,21.142824,62.358276,0.007656442,0.007669292,0.9983245,19.628723,44.860416,-93.342,217.88959
24.987,10.625562,36.862743,98.6,14.174448,1503.5,8.699197,29.5301,744.62,11.764706,91.4,1.5686275,95,96.8,1.4561789,-7.541962,11.22535,39.213043,0.0098896595,0.007866814,1.2571367,15.587672,44.860397,-93.34206,229.01819
25.983,11.498752,25.09804,98.6,13.288545,1546.75,9.320568,29.5301,748.04,7.8431373,91.4,5.882353,95,96.8,1.1526209,-7.9770756,11.113845,37.737946,0.011851835,0.008041352,1.4738611,13.295578,44.86038,-93.34211,238.43909
26.986,7.425239,49.019608,109.4,22.442877,1992.75,9.941939,29.5301,752.9,12.54902,91.4,5.882353,96.8,96.8,2.0026462,-3.4809058,18.358335,48.385426,0.01497551,0.008476402,1.7667296,11.091587,44.860367,-93.34216,245.20564
27.994,7.425239,49.019608,109.4,22.442877,1992.75,9.941939,29.5301,752.9,12.54902,91.4,5.882353,96.8,96.8,2.0026462,-3.4809058,18.358335,48.385426,0.01497551,0.008476402,1.7667296,11.091587,44.86036,-93.34224,254.05307
29.096,9.355261,37.2549,109.4,17.422758,1698,12.4274235,29.5301,757.76,8.627451,91.4,5.490196,96.8,96.8,2.0029743,-5.946547,18.213686,56.33707,0.02097309,0.00922732,2.2729342,8.621383,44.860355,-93.34232,262.3767
29.996,7.0693245,39.215687,109.4,20.375769,1870.5,13.048795,29.5301,762.08,10.196078,91.4,1.1764706,96.8,96.8,1.9959852,-4.49617,25.308426,71.06267,0.027406212,0.009990843,2.743133,7.143596,44.860363,-93.34241,268.7824
30.991,12.055324,28.235294,109.4,12.697943,1602.5,14.291537,29.5301,764.78,7.0588236,91.4,0,96.8,96.8,1.3702402,-8.267151,16.254467,53.273197,0.030745089,0.010246577,3.0005229,6.5308065,44.860367,-93.34249,270.93448
32.008,16.986643,29.411764,109.4,12.402642,1358,14.291537,29.5301,766.04,7.0588236,91.4,0,96.8,96.8,1.1466156,-8.412189,11.535702,44.614735,0.034294683,0.010463767,3.2774699,5.978952,44.860363,-93.34258,267.57083
32.992,15.206893,34.901962,109.4,14.469749,1392.75,14.291537,29.5301,769.28,6.6666665,91.4,0,96.8,96.8,1.133617,-7.3969245,12.885792,48.592808,0.038884997,0.010764761,3.6122491,5.4248295,44.860355,-93.34267,264.688
34.001,15.199784,32.156864,109.4,13.583846,1429.5,13.670166,29.5301,770.36,7.45098,91.4,0,96.8,96.8,1.0914441,-7.832038,12.331305,45.306335,0.042425174,0.011000542,3.8566442,5.0810585,44.86035,-93.34274,263.45328
35.011,14.922628,33.333332,109.4,13.879147,1383,13.670166,29.5301,772.34,7.45098,91.4,0,96.8,96.8,1.1445968,-7.6870003,12.560332,47.69941,0.04561213,0.0112082185,4.0695252,4.815263,44.860348,-93.34283,265.45456
36.010,13.884555,34.509804,109.4,14.174448,1357.25,13.048795,29.5301,774.14,7.45098,91.4,0,96.8,96.8,1.1309254,-7.541962,12.885792,49.863792,0.048398837,0.011433015,4.2332525,4.6290255,44.86035,-93.3429,269.12738
36.988,13.669979,37.2549,109.4,14.76505,1340.75,13.048795,29.5301,775.94,7.8431373,91.4,0,96.8,96.8,1.1561133,-7.251887,13.0880575,51.269783,0.052269403,0.011688671,4.4718003,4.3820906,44.860355,-93.34297,270.7887
37.994,12.487074,36.07843,109.4,15.060351,1351.75,12.4274235,29.5301,777.56,7.8431373,91.4,0,100.4,96.8,1.1648996,-7.106849,13.645614,53.018906,0.05531664,0.011931772,4.6360793,4.226812,44.860355,-93.34304,271.29282
38.991,11.238366,37.64706,109.4,15.355652,1348.75,11.184682,29.5301,779.18,10.980392,91.4,7.8431373,100.4,96.8,1.1974854,-6.9618115,13.645614,53.136837,0.05896,0.012269667,4.805346,4.077924,44.86036,-93.3431,271.39423
40.008,8.097919,29.411764,109.4,15.060351,1622.5,11.184682,29.5301,780.98,6.27451,91.4,0,100.4,96.8,1.1718503,-7.106849,18.937508,61.301655,0.061802715,0.0126160495,4.8987374,4.0001807,44.86036,-93.34317,270.28467
40.990,15.991559,26.27451,109.4,11.81204,1329.25,11.184682,29.5301,782.6,5.882353,91.4,0,100.4,96.8,1.1056437,-8.702264,9.58971,37.89072,0.06501695,0.0128238145,5.070016,3.865044,44.86036,-93.34323,269.94724
41.994,15.728289,24.313726,109.4,10.926137,1250,9.941939,29.5301,783.86,5.882353,91.4,0,100.4,96.8,0.8378744,-9.137378,8.66687,36.415504,0.067814454,0.012993674,5.2190366,3.7546844,44.86036,-93.343285,270.3001
43.008,9.861784,33.72549,109.4,14.174448,1223.25,7.4564543,29.5301,784.94,7.8431373,91.4,0,100.4,96.8,1.0221668,-7.541962,10.366915,44.511105,0.069761716,0.013186653,5.290328,3.704087,44.86036,-93.34331,268.63434
43.990,2.8604164,85.882355,109.4,28.053595,1740.25,4.9709697,29.5301,786.38,38.82353,91.4,12.156863,100.4,96.8,1.9797455,-0.7251887,23.827831,71.91292,0.07124296,0.013756539,5.1788435,3.7838247,44.86036,-93.34334,269.51053
44.996,5.695735,37.2549,109.4,21.852274,2131.5,9.320568,29.5301,788.36,21.568628,91.4,10.980392,100.4,96.8,2.193885,-3.770981,22.437025,55.28585,0.07455044,0.014289046,5.2173142,3.755924,44.860363,-93.3434,272.63303
