Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,22.147575,1061.75,0,9.411765,100.4,0,107.6,1.3601208,-3.6259434,14.319898,70.835625,0,0,0,44.860615,-93.34184,-1
0.996,0,22.147575,1060.25,0,9.019608,100.4,0,107.6,1.356607,-3.6259434,14.741044,73.02205,0,0,0,44.860615,-93.34184,-1
1.988,0,21.852274,1073.25,0,9.411765,100.4,0,107.6,1.336628,-3.770981,14.413926,70.53675,0,0,0,44.860615,-93.34184,-1
2.986,0,21.852274,1043.75,0,9.019608,100.4,0,107.6,1.3359976,-3.770981,14.511124,73.01946,0,0,0,44.860615,-93.34184,-1
3.990,0,21.852274,1049,0,9.019608,100.4,0,107.6,1.3158268,-3.770981,14.088587,70.53847,0,0,0,44.860615,-93.34184,-1
4.991,0,20.966372,1043.25,0,8.627451,100.4,0,107.6,1.2715542,-4.2060943,14.305892,72.02124,0,0,0,44.86061,-93.34184,-1
5.994,1.2380903,20.966372,1064.5,1.2427424,8.627451,100.4,0,107.6,1.2618777,-4.2060943,13.7626295,67.90314,0.0002717486,0.0492855,0,44.8606,-93.34184,187.11519
6.989,1.2380903,20.966372,1064.5,1.2427424,8.627451,100.4,0,107.6,1.2618777,-4.2060943,13.7626295,67.90314,0.0002717486,0.0492855,0,44.860584,-93.34185,186.74901
7.993,3.824312,20.67107,1462.5,4.9709697,10.980392,100.4,4.7058825,107.6,1.5419387,-4.351132,17.822165,64.00275,0.0029980538,0.47720948,0,44.860565,-93.34186,193.8015
8.995,4.0796313,21.261671,1605.25,6.2137117,12.54902,100.4,8.627451,107.6,1.7939028,-4.0610566,20.88348,68.3273,0.0041027893,0.62484187,0,44.86054,-93.34188,199.25832
10.006,4.0796313,21.261671,1605.25,6.2137117,12.54902,100.4,8.627451,107.6,1.7939028,-4.0610566,20.88348,68.3273,0.0041027893,0.62484187,0,44.8605,-93.34191,204.95918
10.985,14.369708,11.516739,1318.25,10.563311,6.27451,100.4,0,107.6,1.3279864,-8.847302,10.079169,40.15698,0.010163533,1.3841388,0,44.860455,-93.34196,210.36604
12.001,12.742607,13.288545,1145.75,9.320568,6.27451,100.4,0,107.6,1.0106035,-7.9770756,10.028979,45.972797,0.012083634,1.6117884,0,44.860416,-93.34201,218.91885
12.992,10.483906,12.993244,1146.75,7.4564543,6.27451,100.4,0,107.6,0.8588416,-8.122113,9.751736,44.662933,0.013579785,1.775255,0,44.860394,-93.34205,225.19551
13.981,6.2066045,14.76505,1094,4.9709697,7.0588236,100.4,0,107.6,0.973188,-7.251887,10.98145,52.720123,0.015853282,1.993991,0,44.860382,-93.34208,229.3288
14.987,6.2066045,14.76505,1094,4.9709697,7.0588236,100.4,0,107.6,0.973188,-7.251887,10.98145,52.720123,0.015853282,1.993991,0,44.860374,-93.3421,232.7167
16.001,4.6930213,17.422758,1095.5,4.3495984,7.8431373,100.4,0,107.6,1.099613,-5.946547,12.707768,60.92436,0.016717173,2.054712,0,44.860367,-93.342125,237.91963
16.980,4.6930213,17.422758,1095.5,4.3495984,7.8431373,100.4,0,107.6,1.099613,-5.946547,12.707768,60.92436,0.016717173,2.054712,0,44.860363,-93.34213,231.04222
17.980,2.4598637,19.489866,1141.75,2.4854848,8.627451,100.4,0,107.6,1.2317622,-4.931283,13.853922,63.728806,0.017888421,2.0674882,0,44.860355,-93.342155,239.87491
18.992,2.4598637,19.489866,1141.75,2.4854848,8.627451,100.4,0,107.6,1.2317622,-4.931283,13.853922,63.728806,0.017888421,2.0674882,0,44.86035,-93.34217,239.56693
19.979,2.367693,20.67107,1079.75,2.4854848,8.627451,100.4,0,107.6,1.3615688,-4.351132,14.393233,70.011475,0.019334022,2.08732,0,44.860344,-93.342186,240.07765
20.980,2.367693,20.67107,1079.75,2.4854848,8.627451,100.4,0,107.6,1.3615688,-4.351132,14.393233,70.011475,0.019334022,2.08732,0,44.860344,-93.3422,243.08498
21.982,1.8706031,20.67107,1049,1.8641136,50.980392,100.4,10.980392,107.6,1.2876321,-4.351132,13.663545,68.41037,0.02025634,2.0777404,0,44.860332,-93.34222,240.46422
22.991,1.8706031,20.67107,1049,1.8641136,50.980392,100.4,10.980392,107.6,1.2876321,-4.351132,13.663545,68.41037,0.02025634,2.0777404,0,44.860313,-93.342255,237.19156
23.988,1.6394838,24.805285,2158.75,6.2137117,10.588235,100.4,0,107.6,1.5011542,-2.3206038,51.965683,126.42948,0.02387215,1.989727,0,44.86028,-93.34233,236.03395
25.120,1.6394838,24.805285,2158.75,6.2137117,10.588235,100.4,0,107.6,1.5011542,-2.3206038,51.965683,126.42948,0.02387215,1.989727,0,44.860245,-93.34239,235.35927
26.000,16.415457,11.81204,1306.25,12.4274235,9.411765,100.4,5.882353,107.6,1.4710684,-8.702264,10.380082,41.735783,0.030710403,2.4712112,0,44.860218,-93.34245,236.69492
26.998,16.415457,11.81204,1306.25,12.4274235,9.411765,100.4,5.882353,107.6,1.4710684,-8.702264,10.380082,41.735783,0.030710403,2.4712112,0,44.8602,-93.34253,244.13173
28.034,7.16902,19.489866,2012,13.048795,10.196078,100.4,3.9215686,107.6,1.4687259,-4.931283,24.956476,65.14624,0.039191544,2.8839293,0,44.860188,-93.34262,253.68289
28.992,7.16902,19.489866,2012,13.048795,10.196078,100.4,3.9215686,107.6,1.4687259,-4.931283,24.956476,65.14624,0.039191544,2.8839293,0,44.860188,-93.34273,263.15085
30.011,9.984507,18.013361,1875,16.155651,6.6666665,100.4,0,107.6,2.0908763,-5.6564717,22.185566,62.14459,0.047823496,3.3120594,0,44.860188,-93.34282,267.67148
31.010,23.95094,10.630836,1382.5,16.155651,5.882353,100.4,0,107.6,1.1499376,-9.282415,9.2485695,35.13529,0.05759081,3.8857348,0,44.860195,-93.34292,270.50684
32.008,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.860195,-93.34302,270.5225
32.996,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.860195,-93.34311,270.78888
33.994,19.384535,13.583846,1336.25,16.155651,7.0588236,100.4,0,107.6,1.0442286,-7.832038,11.42725,44.914658,0.063854225,4.2208753,0,44.8602,-93.34319,271.67957
34.995,17.0482,13.879147,1314,14.912909,8.235294,100.4,0,107.6,1.0699319,-7.6870003,11.993791,47.939686,0.0666657,4.3414316,0,44.8602,-93.343254,271.35098
35.996,17.0482,13.879147,1314,14.912909,8.235294,100.4,0,107.6,1.0699319,-7.6870003,11.993791,47.939686,0.0666657,4.3414316,0,44.860207,-93.343285,280.25037
36.999,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.860207,-93.34331,272.70065
38.029,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.860203,-93.34335,270.63483
39.007,7.9950047,18.603964,1219,9.320568,11.764706,100.4,12.941176,107.6,1.4102836,-5.3663964,15.984399,68.86946,0.07282621,4.5201716,0,44.8602,-93.34344,270.58612
40.028,1.9710574,25.986488,2400,6.835083,6.27451,100.4,0,105.8,1.827498,-1.7404529,47.54635,104.04951,0.0769932,4.2194285,0,44.860203,-93.34352,270.6869
41.018,15.627517,16.241554,1522.5,13.670166,15.686275,100.4,6.27451,105.8,1.4401479,-6.526698,11.993791,41.374546,0.08979316,4.6778383,0,44.860195,-93.3436,267.5472
42.006,6.1316576,22.442877,2011.25,14.291537,13.725491,100.4,2.3529413,105.8,1.9712487,-3.4809058,31.957567,83.45296,0.09221001,4.707414,0,44.86019,-93.34369,266.63788
42.990,7.229119,23.62408,2110.25,17.398394,14.509804,100.4,8.627451,105.8,2.6491156,-2.9007547,32.99867,82.12901,0.09933096,4.8424344,0,44.860184,-93.34378,264.04324
44.003,8.357804,22.442877,2083,19.262506,10.980392,100.4,0,105.8,2.732235,-3.4809058,31.600449,79.67793,0.102951184,4.9128695,0,44.86016,-93.343895,258.61588
45.000,25.01918,12.402642,1404.25,20.505249,6.27451,100.4,0,105.8,1.4904214,-8.412189,11.237369,42.029507,0.10653749,5.0441566,0,44.860184,-93.34402,270.63107
45.994,25.01918,12.402642,1404.25,20.505249,6.27451,100.4,0,105.8,1.4904214,-8.412189,11.237369,42.029507,0.10653749,5.0441566,0,44.860184,-93.34415,270.63107
47.016,29.599072,14.76505,1504.25,20.505249,14.509804,100.4,0,105.8,1.1961482,-7.251887,9.4986,33.164516,0.11311394,5.3034844,0,44.860188,-93.34427,271.1152
47.990,29.599072,14.76505,1504.25,20.505249,14.509804,100.4,0,105.8,1.1961482,-7.251887,9.4986,33.164516,0.11311394,5.3034844,0,44.860188,-93.344406,271.1152
48.992,6.8753886,30.711304,3220.5,21.747992,68.62745,100.4,48.627453,105.8,2.6651638,0.58015096,43.370514,70.73027,0.123910174,5.3840837,0,44.86019,-93.34456,271.1152
49.993,6.8753886,30.711304,3220.5,21.747992,68.62745,100.4,48.627453,105.8,2.6651638,0.58015096,43.370514,70.73027,0.123910174,5.3840837,0,44.860195,-93.34474,271.01062
50.996,1.894871,20.080467,3327.75,27.961704,6.6666665,100.4,0,102.2,3.7308066,-4.6412077,202.3283,319.3302,0.13837324,4.560874,0,44.860195,-93.34494,271.01062
52.010,1.894871,20.080467,3327.75,27.961704,6.6666665,100.4,0,102.2,3.7308066,-4.6412077,202.3283,319.3302,0.13837324,4.560874,0,44.8602,-93.34509,271.01062
53.002,55.539425,6.201321,1753,27.961704,4.3137255,100.4,0,102.2,1.1905304,-11.457981,6.9029527,20.681738,0.15527375,5.0641747,0,44.86019,-93.345215,271.07733
54.000,55.539425,6.201321,1753,27.961704,4.3137255,100.4,0,102.2,1.1905304,-11.457981,6.9029527,20.681738,0.15527375,5.0641747,0,44.860203,-93.34532,271.07733
55.007,50.05165,7.973127,1143.5,20.505249,4.3137255,100.4,0,102.2,0.8063363,-10.587755,5.6171927,25.799852,0.16710822,5.412074,0,44.860207,-93.34541,271.07733
56.007,42.98047,8.268428,1170.5,16.777021,4.3137255,100.4,0,102.2,0.5454623,-10.442718,5.352003,24.014803,0.17395645,5.604529,0,44.860207,-93.34549,271.07733
57.004,38.728218,7.087224,1242.25,14.912909,4.3137255,100.4,0,102.2,0.4785785,-11.022868,5.279679,22.321972,0.1791563,5.7467833,0,44.86021,-93.345566,271.5158
57.994,38.728218,7.087224,1242.25,14.912909,4.3137255,100.4,0,102.2,0.4785785,-11.022868,5.279679,22.321972,0.1791563,5.7467833,0,44.860214,-93.345634,271.5158
58.981,28.963234,7.973127,948.5,12.4274235,3.9215686,100.4,0,102.2,0.57140404,-10.587755,5.8831067,32.576427,0.1834884,5.8573728,0,44.86022,-93.34567,271.5158
60.000,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860233,-93.345695,271.5158
60.985,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860226,-93.34574,310.39984
61.984,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860348,-93.34568,0.46283007
62.997,7.524571,28.053595,2097.5,7.4564543,14.509804,100.4,8.235294,102.2,1.5350816,-0.7251887,13.58699,34.02165,0.18663394,5.879669,0,44.860443,-93.34567,0.46283007
64.008,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.860577,-93.34567,0.46283007
64.993,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.86073,-93.34567,0.46283007
65.992,3.5068007,25.691187,2982.75,10.563311,68.62745,100.4,25.490196,102.2,3.1087925,-1.8854905,41.301098,72.724174,0.19062366,5.796828,0,44.860863,-93.34568,0.49132645
66.997,67.934006,28.348896,2445,31.68993,68.62745,100.4,45.882355,102.2,4.878189,-0.58015096,6.395974,13.739215,0.22973336,6.845541,0,44.86099,-93.34568,0.49132645
