Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,255.94
1.034,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
2.006,0.00,28.05,0.00,0.00,29.53,356.00,7.06,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
2.996,0.00,28.05,0.00,0.00,29.53,356.00,7.06,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,213.75
4.019,0.00,28.05,0.00,0.00,29.53,356.00,7.06,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,226.76
5.025,0.00,28.05,0.00,0.00,29.53,356.00,7.06,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,242.23
5.997,0.00,28.05,0.00,0.00,29.53,356.00,7.06,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
6.997,0.00,28.05,0.00,0.00,29.53,356.36,12.94,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
8.003,0.00,28.05,0.00,0.00,29.53,356.36,12.94,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
9.001,0.00,28.05,0.00,0.00,29.53,356.36,12.94,62.60,0.00,66.20,0.00,0.00,-0.73,-0.00,1.69,0.00,0.00,0.00,45.06,-92.95,-1.00
9.996,0.00,21.85,1861.00,0.00,29.53,362.84,18.43,62.60,0.00,66.20,0.00,0.00,-3.77,-0.00,32.14,90.69,0.00,0.00,45.06,-92.95,-1.00
11.003,0.00,21.85,1861.00,0.00,29.53,362.84,18.43,62.60,0.00,66.20,0.00,0.00,-3.77,-0.00,32.14,90.69,0.00,0.00,45.06,-92.95,-1.00
13.008,0.00,31.01,1763.75,0.00,29.53,388.40,14.90,62.60,0.00,66.20,0.00,3.33,0.73,-0.00,42.20,125.67,0.00,0.00,45.06,-92.95,-1.00
14.993,0.00,28.05,1669.25,0.00,29.53,412.88,14.90,62.60,0.00,66.20,0.00,2.85,-0.73,-0.00,40.13,126.27,0.00,0.00,45.06,-92.95,-1.00
55.997,1.83,13.58,1018.75,1.24,29.53,691.34,5.10,62.60,0.00,66.20,0.00,0.79,-7.83,0.21,9.33,48.11,0.00,0.13,45.06,-92.95,264.13
57.001,6.11,12.11,896.00,3.11,29.53,694.40,5.49,62.60,0.00,66.20,0.00,0.71,-8.56,1.30,6.97,40.85,0.00,0.19,45.06,-92.95,256.58
58.000,6.11,12.11,896.00,3.11,29.53,694.40,5.49,62.60,0.00,66.20,0.00,0.71,-8.56,1.30,6.97,40.85,0.00,0.19,45.06,-92.95,264.12
58.997,7.46,12.70,945.50,4.35,29.53,698.90,5.10,62.60,0.00,66.20,0.00,0.66,-8.27,2.09,8.00,44.43,0.00,0.25,45.06,-92.95,276.33
60.000,7.46,12.70,945.50,4.35,29.53,698.90,5.10,62.60,0.00,66.20,0.00,0.66,-8.27,2.09,8.00,44.43,0.00,0.25,45.06,-92.95,291.85
60.992,7.46,12.70,945.50,4.35,29.53,698.90,5.10,62.60,0.00,66.20,0.00,0.66,-8.27,2.09,8.00,44.43,0.00,0.25,45.06,-92.95,309.67
61.994,7.30,13.29,1046.25,4.35,29.53,708.08,4.71,62.60,9.80,66.20,0.00,0.72,-7.98,1.00,8.17,41.01,0.01,0.41,45.06,-92.95,336.02
63.006,0.48,23.92,1409.00,0.62,29.53,712.04,26.27,62.60,10.59,66.20,0.00,1.44,-2.76,-1.11,17.67,65.87,0.01,0.41,45.06,-92.95,-1.00
63.998,1.70,28.35,2183.00,5.59,29.53,715.82,24.31,62.60,10.59,66.20,0.00,2.30,-0.58,1.19,45.15,108.63,0.01,0.51,45.06,-92.95,180.08
65.004,2.28,30.12,2461.00,9.32,29.53,718.16,16.47,62.60,9.02,66.20,0.00,3.79,0.29,7.08,56.14,119.80,0.01,0.56,45.06,-92.95,180.50
66.008,2.28,30.12,2461.00,9.32,29.53,718.16,16.47,62.60,9.02,66.20,0.00,3.79,0.29,7.08,56.14,119.80,0.01,0.56,45.06,-92.95,180.24
67.014,2.28,30.12,2461.00,9.32,29.53,718.16,16.47,62.60,9.02,66.20,0.00,3.79,0.29,7.08,56.14,119.80,0.01,0.56,45.06,-92.95,179.39
68.006,5.96,23.03,2173.50,17.40,29.53,736.16,11.37,62.60,0.00,66.20,0.00,3.27,-3.19,7.98,40.02,96.70,0.02,0.90,45.06,-92.95,180.13
69.004,5.96,23.03,2173.50,17.40,29.53,736.16,11.37,62.60,0.00,66.20,0.00,3.27,-3.19,7.98,40.02,96.70,0.02,0.90,45.06,-92.95,180.56
69.999,5.96,23.03,2173.50,17.40,29.53,736.16,11.37,62.60,0.00,66.20,0.00,3.27,-3.19,7.98,40.02,96.70,0.02,0.90,45.06,-92.95,180.65
