Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Latitude (deg), Longitude (deg), Bearing (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058086,-92.95466,-1
1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803356,0,0,0.00032799353,0,0,45.058086,-92.95466,-1
2.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803356,0,0,0.00032799353,0,0,45.05808,-92.95464,-1
3.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.803356,0,0,0.00032799353,0,0,45.058075,-92.95464,-1
3.996,0,40.39216,136.4,16.536856,1471.25,0,29.234798,755.24,8.627451,82.4,0,122,98.6,0,-6.3816605,15.672671,55.94878,0,0.000707739,0,0,45.05807,-92.95464,-1
5.000,0,40.39216,136.4,16.536856,1471.25,0,29.234798,755.24,8.627451,82.4,0,122,98.6,0,-6.3816605,15.672671,55.94878,0,0.000707739,0,0,45.058067,-92.95464,-1
6.007,0,40.39216,136.4,16.536856,1471.25,0,29.234798,755.24,8.627451,82.4,0,122,98.6,0,-6.3816605,15.672671,55.94878,0,0.000707739,0,0,45.058067,-92.95464,-1
7.000,0,42.35294,136.4,16.536856,1452.5,0,29.234798,762.8,8.627451,82.4,0,122,98.6,1.4036053,-6.236623,15.913789,57.542873,0,0.0016625124,0,0,45.058067,-92.95464,-1
8.001,0,42.35294,136.4,16.536856,1452.5,0,29.234798,762.8,8.627451,82.4,0,122,98.6,1.4036053,-6.236623,15.913789,57.542873,0,0.0016625124,0,0,45.058067,-92.95464,-1
8.994,0,39.60784,136.4,16.832157,1473.5,0,29.234798,766.4,8.235294,82.4,0,122,98.6,1.4104624,-6.091585,16.046404,57.195473,0,0.0022993116,0,0,45.058067,-92.95464,-1
10.003,0,39.60784,136.4,16.832157,1473.5,0,29.234798,766.4,8.235294,82.4,0,122,98.6,1.4104624,-6.091585,16.046404,57.195473,0,0.0022993116,0,0,45.058067,-92.95464,-1
10.996,0,34.901962,136.4,14.174448,1524,0,29.234798,772.34,7.8431373,82.4,0,122,98.6,1.2049302,-7.3969245,15.059199,51.898045,0,0.002943191,0,0,45.058067,-92.954636,-1
11.996,0,34.901962,136.4,14.174448,1524,0,29.234798,772.34,7.8431373,82.4,0,122,98.6,1.2049302,-7.3969245,15.059199,51.898045,0,0.002943191,0,0,45.058067,-92.954636,-1
13.007,0,34.901962,136.4,14.174448,1524,0,29.234798,772.34,7.8431373,82.4,0,122,98.6,1.2049302,-7.3969245,15.059199,51.898045,0,0.002943191,0,0,45.058067,-92.954636,-1
14.003,0,33.72549,136.4,14.174448,1465,0,29.234798,778.1,7.45098,82.4,0,122,98.6,1.2462258,-7.3969245,13.319737,47.75206,0,0.0036700694,0,0,45.058067,-92.95464,-1
