Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058113,-92.95465
0.995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.058105,-92.95465
1.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05809,-92.95464
3.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05809,-92.95465
8.003,0,20,78.8,8.268428,1592.5,0,5.882353,64.4,0,71.6,68,0.76321787,-10.442718,9.173141,30.253296,0,0,45.05809,-92.95464
30.000,0,37.64706,78.8,13.583846,1024,0,5.882353,64.4,0,75.2,68,0.8063874,-7.9770756,9.332407,47.86607,0,0,45.058125,-92.954605
31.007,0,37.64706,78.8,13.288545,1025.75,0,5.882353,64.4,0,75.2,68,0.7850241,-8.122113,9.416808,48.216564,0,0,45.058125,-92.954605
32.004,0.9212462,36.862743,78.8,13.879147,1005.75,0.6213712,5.882353,64.4,0,75.2,68,0.8113066,-7.6870003,9.248005,48.29388,0.000519237,0.08745069,45.058125,-92.95461
33.002,0.9383743,36.47059,78.8,13.583846,1006,0.6213712,5.882353,64.4,0,75.2,68,0.7881673,-7.832038,9.079202,47.400593,0.00065462996,0.1073785,45.05812,-92.95462
34.005,0.9547718,40.784313,78.8,13.583846,996,0.6213712,5.882353,64.4,0,75.2,68,0.7883632,-7.832038,8.923273,47.054256,0.000792878,0.12667161,45.05812,-92.95463
35.003,0,40.39216,87.8,13.288545,1000,0,5.882353,64.4,0,77,68,0.7635586,-7.9770756,9.007683,47.30937,0.000792878,0.12375123,45.05812,-92.954636
36.003,1.8912454,40.39216,87.8,13.288545,991.75,1.2427424,5.882353,64.4,0,77,68,0.7666251,-7.9770756,9.009608,47.71311,0.0012439995,0.18746722,45.058117,-92.95465
36.999,2.836868,35.686275,87.8,13.583846,1007,1.8641136,5.882353,64.4,0,77,68,0.777196,-7.832038,9.009608,46.990547,0.001636652,0.2415391,45.058117,-92.954666
38.001,4.4874125,33.333332,87.8,12.107341,881.25,2.4854848,5.098039,64.4,0,77,68,0.70337003,-8.702264,7.5943007,45.260853,0.002231407,0.32234398,45.058117,-92.95468
39.007,6.8812327,37.64706,87.8,12.697943,939.25,3.7282271,5.098039,64.4,0,77,68,0.64556223,-8.412189,7.428631,41.539536,0.0035702344,0.50213706,45.058117,-92.9547
40.017,9.720663,31.37255,87.8,12.107341,962,4.9709697,5.098039,64.4,0,77,68,0.65604794,-8.702264,7.011612,38.280437,0.004836514,0.66872716,45.05811,-92.95474
41.005,9.720663,31.37255,87.8,12.107341,962,4.9709697,5.098039,64.4,0,77,68,0.65604794,-8.702264,7.011612,38.280437,0.004836514,0.66872716,45.05811,-92.95477
42.001,9.720663,31.37255,87.8,12.107341,962,4.9709697,5.098039,64.4,0,77,68,0.65604794,-8.702264,7.011612,38.280437,0.004836514,0.66872716,45.05811,-92.954796
43.003,10.368147,32.941177,87.8,11.81204,956,5.592341,5.098039,64.4,0,77,68,0.65554965,-8.847302,7.3954587,40.629486,0.0061444896,0.83478224,45.058117,-92.95481
44.001,4.995743,54.117645,87.8,14.469749,966.75,1.8641136,9.803922,64.4,16.470589,77,68,0.79803973,-7.541962,5.11617,27.794882,0.0074074054,0.9719127,45.05811,-92.9548
45.001,0.34612632,51.372547,87.8,25.691187,2012,0.6213712,17.647058,64.4,9.411765,77,68,1.4328606,-2.0305283,24.614393,64.253265,0.0076097823,0.9325316,45.05809,-92.954796
46.007,0.34612632,51.372547,87.8,25.691187,2012,0.6213712,17.647058,64.4,9.411765,77,68,1.4328606,-2.0305283,24.614393,64.253265,0.0076097823,0.9325316,45.058037,-92.954796
47.006,0.34612632,51.372547,87.8,25.691187,2012,0.6213712,17.647058,64.4,9.411765,77,68,1.4328606,-2.0305283,24.614393,64.253265,0.0076097823,0.9325316,45.05796,-92.95481
48.022,0.34612632,51.372547,87.8,25.691187,2012,0.6213712,17.647058,64.4,9.411765,77,68,1.4328606,-2.0305283,24.614393,64.253265,0.0076097823,0.9325316,45.057888,-92.95484
49.007,2.2864153,46.666668,87.8,31.006605,2560.5,7.4564543,7.45098,64.4,0,77,68,3.5990493,0.58015096,44.714657,91.71897,0.010224354,1.033047,45.05779,-92.95486
50.001,2.2864153,46.666668,87.8,31.006605,2560.5,7.4564543,7.45098,64.4,0,77,68,3.5990493,0.58015096,44.714657,91.71897,0.010224354,1.033047,45.057697,-92.95486
51.002,2.2864153,46.666668,87.8,31.006605,2560.5,7.4564543,7.45098,64.4,0,77,68,3.5990493,0.58015096,44.714657,91.71897,0.010224354,1.033047,45.05761,-92.95486
52.006,2.2864153,46.666668,87.8,31.006605,2560.5,7.4564543,7.45098,64.4,0,77,68,3.5990493,0.58015096,44.714657,91.71897,0.010224354,1.033047,45.05752,-92.95486
