Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.002,0,0,0,0,0,2.272914,0,0,0,0,20.91891,0,0,0,0,0,0
1.252,0,0,0,0,0,2.272914,0,0,0,0,20.91891,0,0,0,0,0,0
1.501,0.41037747,25.100586,1226,0.6213712,-7.5,2.255715,71.6,0,77,-2.175566,20.760616,88.93729,9.506397E-05,0.15868881,45.058117,-92.954544,976.5432
1.751,0.41623652,24.509983,1204.75,0.6213712,-7,2.223963,71.6,0,77,-2.3206038,20.468386,89.23202,0.00013522414,0.1944152,45.058117,-92.954544,976.5432
2.002,0.40727216,24.805285,1195.25,0.6213712,-7,2.272914,71.6,0,77,-2.175566,20.91891,91.92092,0.00018253407,0.22487707,45.058117,-92.954544,976.5432
2.251,0.42899668,24.805285,1208.25,0.6213712,-7,2.157813,71.6,0,77,-2.175566,19.85957,86.32709,0.00023379788,0.25082767,45.058117,-92.954544,976.5432
2.502,0.40166107,24.509983,1189.25,0.6213712,-7,2.304666,71.6,0,77,-2.3206038,21.21114,93.67526,0.0002862972,0.2700483,45.058117,-92.954544,976.5432
2.753,0.41623652,24.509983,1212.25,0.6213712,-7,2.223963,71.6,0,77,-2.3206038,20.468386,88.679955,0.00031165834,0.27799335,45.058132,-92.954544,976.359
3.001,0.40727216,24.805285,1190.5,0.6213712,-7.5,2.272914,71.6,0,77,-2.175566,20.91891,92.287674,0.00036274438,0.2916298,45.058132,-92.954544,976.359
3.252,0.40727216,24.805285,1190.5,0.6213712,-7.5,2.272914,71.6,0,77,-2.175566,20.91891,92.287674,0.00036274438,0.2916298,45.058132,-92.954544,976.359
3.502,0.43867937,23.91938,1216,0.6213712,-7,2.110185,71.6,0,77,-2.6106794,19.421223,83.8836,0.0004393617,0.30973536,45.058163,-92.95457,976.96295
3.751,0.85799336,24.509983,1198,1.2427424,-5,2.157813,71.6,0,77,-2.3206038,19.85957,87.0657,0.0005233831,0.33694988,45.058163,-92.95457,976.96295
4.002,0.8708072,23.32878,1212.25,1.2427424,-6.5,2.126061,71.6,0,77,-2.9007547,19.567339,84.77614,0.0005741167,0.3562497,45.058163,-92.95457,976.96295
4.251,0.8708072,23.32878,1233.25,1.2427424,-5,2.126061,71.6,0,77,-2.9007547,19.567339,83.33256,0.0006796489,0.3919115,45.058163,-92.95457,976.96295
