Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Ignition timing advance for #1 cylinder (deg), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860573,-93.34191,826.42596
0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.860573,-93.34191,826.42596
0.753,0,0,0,0,0,3.032316,0,0,0,0,0,27.908113,0,0,0,44.860573,-93.34191,826.42596
1.001,0,25.100586,1620.5,0,-15,3.093174,29.5301,78.8,0,82.4,-2.175566,28.468224,92.26679,0,0,44.860573,-93.34191,826.42596
1.252,0,24.805285,1619,0,-15.5,2.98998,29.5301,78.8,0,82.4,-2.3206038,27.518473,89.27123,0,0,44.860577,-93.34191,827.1336
1.508,0,25.395885,1642.25,0,-16,3.093174,29.5301,78.8,0,82.4,-2.0305283,28.468224,91.04481,0,0,44.860577,-93.34191,827.1336
1.752,0,29.234798,1617.75,0,-15.5,2.078433,29.5301,78.8,0,82.4,-0.14503774,19.12899,62.103306,0,0,44.860577,-93.34191,827.1336
2.002,0,29.234798,1617.75,0,-15.5,2.078433,29.5301,78.8,0,82.4,-0.14503774,19.12899,62.103306,0,0,44.860577,-93.34191,827.1336
2.253,0,24.805285,1545.5,0,-14.5,2.776977,29.5301,78.8,0,82.4,-2.3206038,25.558084,86.85471,0,0,44.860577,-93.34191,828.29987
2.502,0,24.805285,1635.75,0,-14,2.9106,29.5301,78.8,0,82.4,-2.3206038,26.787893,86.01134,0,0,44.860577,-93.34191,828.29987
2.752,0,25.100586,1635,0,-14.5,3.155355,29.5301,78.8,0,82.4,-2.175566,29.040512,93.28688,0,0,44.860577,-93.34191,828.29987
3.001,0,24.805285,1617.75,0,-15.5,3.196368,29.5301,78.8,0,82.4,-2.3206038,29.417976,95.50706,0,0,44.860577,-93.34191,828.29987
3.252,0,24.214682,1611.75,0,-15.5,2.948967,29.5301,78.8,0,82.4,-2.6106794,27.141006,88.44277,0,0,44.86058,-93.34191,828.5291
3.505,0,25.395885,1620.5,0,-16,3.093174,29.5301,78.8,0,82.4,-2.0305283,28.468224,92.26679,0,0,44.86058,-93.34191,828.5291
3.752,0,24.509983,1644.5,0,-16,3.074652,29.5301,78.8,0,82.4,-2.4656415,28.297756,90.37581,0,0,44.86058,-93.34191,828.5291
4.002,0,26.87239,1569.75,0,-15,2.796822,29.5301,78.8,0,82.4,-1.3053397,25.74073,86.12405,0,0,44.86058,-93.34191,828.5291
4.251,0,24.805285,1581.75,0,-15,3.032316,29.5301,78.8,0,82.4,-2.3206038,27.908113,92.66734,0,0,44.86058,-93.34191,828.6631
