Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.253,0,0,0,0,2.720088,0,0,0,0,0,0,0,0,0,0,0,25.034504,0,0,0,0,0,0
0.502,0,0,0,0,2.720088,0,0,0,0,0,0,0,0,0,0,0,25.034504,0,0,0,0,0,0
0.752,0,0,0,0,2.720088,0,0,0,0,0,0,0,0,0,0,0,25.034504,0,0,0,0,0,0
1.002,0,0,0,0,2.720088,0,0,0,0,0,0,0,0,0,0,0,25.034504,0,0,0,45.058018,-92.95459,981.36115
1.253,0,0,0,0,2.720088,0,0,0,0,0,0,0,0,0,0,0,25.034504,0,0,0,45.058018,-92.95459,981.36115
1.503,0,7.677826,1600,0,0.801738,29.234798,55.4,0,59,59,0,1674.3567,3375.2905,-10.732793,0,0,7.3788466,24.221586,0,0,45.058018,-92.95459,981.36115
1.752,0,7.677826,1533,0,0.895671,29.234798,55.4,0,59,59,0,1674.3567,2247.2407,-10.587755,0,0,8.1606,27.958508,0,0,45.058018,-92.95459,981.36115
2.003,0,8.268428,1497,0,0.951237,29.234798,55.4,0,59,59,0,1674.3567,1807.2421,-10.297679,0,0,8.66687,30.407068,0,0,45.058018,-92.95459,981.36115
2.253,0,8.563729,1477.75,0,0.988281,29.234798,55.4,0,59,59,0,1674.3567,1712.7458,-10.152641,0,0,9.004384,32.002735,0,0,45.058018,-92.95459,981.36115
2.504,0,8.563729,1477.75,0,0.988281,29.234798,55.4,0,59,59,0,1674.3567,1742.2759,-10.152641,0,0,9.004384,32.002735,0,0,45.058018,-92.95459,981.36115
2.754,0,8.563729,1491,0,0.988281,29.234798,55.4,0,59,59,0,1674.3567,1697.9807,-10.152641,0,0,9.004384,31.718338,0,0,45.058018,-92.95459,981.36115
3.004,0,8.85903,1497.25,0,1.014741,29.234798,55.4,0,59,59,0,1674.3567,1715.6989,-10.007604,0,0,9.245465,32.43161,0,0,45.058025,-92.954605,982.5238
3.255,0,8.85903,1505.5,0,1.042524,29.234798,55.4,0,59,59,0,1674.3567,1721.6049,-10.007604,0,0,9.4986,33.13698,0,0,45.058025,-92.954605,982.5238
3.505,0,9.154331,1533,0,1.070307,29.234798,55.4,0,60.8,60.8,0,1674.3567,1677.3097,-9.862566,0,0,9.751736,33.409798,0,0,45.058025,-92.954605,982.5238
3.755,0,9.449632,1546.25,0,1.070307,29.234798,55.4,0,60.8,60.8,0,1674.3567,1644.8265,-9.717528,0,0,9.751736,33.123505,0,0,45.058025,-92.954605,982.5238
4.005,0,9.449632,1574,0,1.080891,29.234798,55.4,0,60.8,60.8,0,1674.3567,1665.4977,-9.717528,0,0,9.848168,32.861305,0,0,45.058033,-92.95462,983.37964
4.255,0,9.154331,1586,0,1.080891,29.234798,55.4,0,60.8,60.8,0,1674.3567,1668.4507,-9.862566,0,0,9.848168,32.612667,0,0,45.058033,-92.95462,983.37964
4.504,0,8.85903,1593.5,0,1.080891,29.234798,55.4,0,60.8,60.8,0,1674.3567,1638.9205,-10.007604,0,0,9.848168,32.459175,0,0,45.058033,-92.95462,983.37964
4.754,0,10.040234,1614.5,0,1.254204,29.234798,55.4,0,60.8,60.8,0,1674.3567,1724.5579,-9.427453,0,0,11.42725,37.17387,0,0,45.058033,-92.95462,983.37964
5.006,0,10.040234,1630,0,1.23039,29.234798,55.4,0,60.8,60.8,0,1674.3567,1677.3097,-9.427453,0,0,11.210277,36.121254,0,0,45.058037,-92.95463,983.8712
5.256,0,10.040234,1586.75,0,1.210545,29.234798,55.4,0,60.8,60.8,0,1674.3567,1662.5447,-9.427453,0,0,11.029466,36.507328,0,0,45.058037,-92.95463,983.8712
5.507,0,10.630836,1543.5,0,1.23039,29.234798,55.4,0,60.8,60.8,0,1674.3567,1712.7458,-9.137378,0,0,11.210277,38.145542,0,0,45.058037,-92.95463,983.8712
5.757,0,10.630836,1537.75,0,1.242297,29.234798,55.4,0,60.8,60.8,0,1674.3567,1692.0747,-9.137378,0,0,11.318764,38.658707,0,0,45.058037,-92.95463,983.8712
