Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.301,0.0,0.0,0.0,0.0,1.532034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7352034e-15,3.2782176e-15,13.958603,0.0,0.0,0.0,45.049385,-93.05569,923.2141
0.4,0.0,0.0,0.0,0.0,1.532034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7352034e-15,3.2782176e-15,13.958603,0.0,0.0,0.0,45.049385,-93.05569,923.2141
0.501,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
0.601,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
0.701,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
0.8,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
0.901,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
1.001,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
1.101,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
1.202,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049385,-93.05569,923.2141
1.301,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049374,-93.05569,923.0211
1.401,0.0,21.261671,1045.0,0.0,1.578339,29.234798,82.4,0.0,116.6,138.2,4429.515,4420.656,-4.0610566,4.7352034e-15,3.2782176e-15,14.394113,72.344025,0.0,0.0,45.049374,-93.05569,923.0211
1.501,1.2780476,21.261671,1039.5,1.2427424,1.461915,29.234798,82.4,0.0,116.6,138.2,4429.515,4432.468,-3.916019,0.8660622,0.17321244,13.332351,67.362206,0.00036325539,0.75920206,45.049374,-93.05569,923.0211
