Time (sec),Instant fuel economy (MPG),Calculated load value (%),Engine coolant temperature (°F),Intake manifold absolute pressure (inHg),Engine RPM (RPM),Vehicle speed (MPH),Relative throttle position (%),Ambient air temperature (°F),Relative accelerator pedal position (%),Engine oil temperature (°F),Intake air temperature bank 1  sensor 1 (°F),Mass air flow rate (lb/min),Boost (psi),Engine Power (hp),Engine Torque (lb•ft),Trip Distance (miles),Trip Fuel Economy (MPG),Latitude (deg),Longitude (deg)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05806,-92.954704
0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.245465,0.0,0.0,0.0,45.05807,-92.9547
2.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.245465,0.0,0.0,0.0,45.058064,-92.95469
2.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.245465,0.0,0.0,0.0,45.058064,-92.95469
4.02,0.0,20.0,82.4,7.677826,1610.5,0.0,5.882353,68,0.0,75.2,71.6,0.0,-10.732793,9.004384,29.36482,0.0,0.0,45.058044,-92.95467
4.951,0.0,20.784313,82.4,7.973127,1594.75,0.0,5.882353,68,0.0,75.2,71.6,0.74078983,-10.587755,8.835627,29.09905,0.0,0.0,45.058056,-92.95468
10.009,0.0,20.392157,82.4,7.973127,1596.0,0.0,5.882353,68,0.0,75.2,71.6,0.7342352,-10.587755,8.835627,29.076262,0.0,0.0,45.058075,-92.95467
10.964,0.0,20.392157,82.4,7.973127,1596.0,0.0,5.882353,68,0.0,75.2,71.6,0.7342352,-10.587755,8.835627,29.076262,0.0,0.0,45.05807,-92.95467
12.0,0.0,20.392157,82.4,7.973127,1594.25,0.0,6.27451,68,0.0,75.2,71.6,0.7341202,-10.587755,8.835627,29.108177,0.0,0.0,45.058075,-92.95468
16.006,0.0,45.098038,82.4,15.650953,1045.5,0.0,6.6666665,68,0.0,75.2,71.6,0.9318073,-6.816774,11.029466,55.406986,0.0,0.0,45.058075,-92.95468
16.959,0.0,45.098038,82.4,15.650953,1045.5,0.0,6.6666665,68,0.0,75.2,71.6,0.9318073,-6.816774,11.029466,55.406986,0.0,0.0,45.058075,-92.95468
18.013,0.0,43.137257,82.4,15.650953,1027.5,0.0,5.882353,68,0.0,75.2,71.6,0.9439966,-6.816774,10.848987,55.45509,0.0,0.0,45.058075,-92.95468
20.96,0.0,38.431374,82.4,13.583846,1022.0,0.0,5.882353,68,0.0,75.2,71.6,0.8052119,-7.832038,9.583271,49.248947,0.0,0.0,45.058086,-92.95468
22.015,0.0,38.431374,82.4,13.583846,1022.0,0.0,5.882353,68,0.0,75.2,71.6,0.8052119,-7.832038,9.583271,49.248947,0.0,0.0,45.05809,-92.954704
22.959,0.0,37.2549,82.4,13.288545,1018.75,0.0,5.882353,68,0.0,75.2,71.6,0.78349084,-7.9770756,9.248005,47.677612,0.0,0.0,45.058105,-92.95468
24.007,0.0,37.2549,82.4,13.288545,1018.75,0.0,5.882353,68,0.0,75.2,71.6,0.78349084,-7.9770756,9.248005,47.677612,0.0,0.0,45.0581,-92.95468
24.968,0.0,37.2549,82.4,13.288545,1018.75,0.0,5.882353,68,0.0,75.2,71.6,0.78349084,-7.9770756,9.248005,47.677612,0.0,0.0,45.058105,-92.95469
25.993,0.9459114,36.47059,82.4,13.583846,1006.0,0.6213712,5.882353,68,0.0,77.0,71.6,0.79835486,-7.832038,9.006858,47.022896,0.00035830817,0.076579556,45.0581,-92.954704
26.96,0.9459114,36.47059,82.4,13.583846,1006.0,0.6213712,5.882353,68,0.0,77.0,71.6,0.79835486,-7.832038,9.006858,47.022896,0.00035830817,0.076579556,45.058098,-92.95472
28.003,0.9459114,36.47059,82.4,13.583846,1006.0,0.6213712,5.882353,68,0.0,77.0,71.6,0.79835486,-7.832038,9.006858,47.022896,0.00035830817,0.076579556,45.058098,-92.95473
