Time (sec),Instant fuel economy (MPG),Intake manifold absolute pressure (inHg),Engine RPM (RPM),Vehicle speed (MPH),Relative throttle position (%),Ambient air temperature (°F),Fuel type,Relative accelerator pedal position (%),Mass air flow rate (lb/min),Boost (psi),Engine Power (hp),Trip Distance (miles),Trip Fuel Economy (MPG),Hard Brake Count,Latitude (deg),Longitude (deg),Bearing (deg)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.538968,0.0,0.0,0,45.03617,-92.9851,-1.0
1.003,0.0,10.630836,583.5,0.0,3.137255,71.6,1,0.0,0.0,-9.282415,4.1308093,0.0,0.0,0,45.036167,-92.9851,-1.0
2.001,0.0,10.630836,583.5,0.0,3.137255,71.6,1,0.0,0.0,-9.282415,4.1308093,0.0,0.0,0,45.036163,-92.9851,-1.0
3.002,0.0,11.221438,681.25,0.0,3.5294118,71.6,1,0.0,0.37774175,-8.99234,4.251593,0.0,0.0,0,45.036163,-92.9851,-1.0
3.993,0.0,11.221438,681.25,0.0,3.5294118,71.6,1,0.0,0.37774175,-8.99234,4.251593,0.0,0.0,0,45.03616,-92.9851,-1.0
5.0,0.0,11.221438,690.0,0.0,3.5294118,71.6,1,0.0,0.4410224,-8.99234,4.372377,0.0,0.0,0,45.036156,-92.9851,-1.0
8.021,0.0,10.630836,675.75,0.0,3.5294118,71.6,1,0.0,0.4130576,-9.282415,3.913398,0.0,0.0,0,45.036114,-92.9851,-1.0
9.004,0.0,11.221438,667.5,0.0,3.5294118,71.6,1,0.0,0.43746185,-8.99234,4.1308093,0.0,0.0,0,45.036114,-92.9851,-1.0
9.998,0.0,10.630836,677.5,0.0,3.5294118,71.6,1,0.0,0.4155108,-9.282415,3.9617116,0.0,0.0,0,45.036114,-92.9851,-1.0
11.005,0.0,10.926137,682.0,0.0,3.5294118,71.6,1,0.0,0.42705277,-9.137378,4.191201,0.0,0.0,0,45.036114,-92.9851,-1.0
12.007,0.0,10.630836,667.75,0.0,3.137255,71.6,1,0.0,0.41443753,-9.282415,4.251593,0.0,0.0,0,45.036114,-92.9851,-1.0
13.006,0.0,10.926137,679.5,0.0,3.5294118,71.6,1,0.0,0.420907,-9.137378,4.1308093,0.0,0.0,0,45.036114,-92.98511,-1.0
14.004,0.0,10.926137,675.0,0.0,3.5294118,71.6,1,0.0,0.4220101,-9.137378,4.1308093,0.0,0.0,0,45.036114,-92.98511,-1.0
15.012,0.0,10.926137,679.5,0.0,3.5294118,71.6,1,0.0,0.42547694,-9.137378,4.010025,0.0,0.0,0,45.036114,-92.98511,-1.0
16.002,0.0,10.630836,667.0,0.0,3.5294118,71.6,1,0.0,0.41459087,-9.282415,4.191201,0.0,0.0,0,45.036118,-92.98511,-1.0
17.002,0.0,10.926137,675.0,0.0,3.5294118,71.6,1,0.0,0.42043424,-9.137378,4.191201,0.0,0.0,0,45.036118,-92.98511,-1.0
17.994,0.0,11.221438,675.5,0.0,3.5294118,71.6,1,0.0,0.4369763,-8.99234,4.070417,0.0,0.0,0,45.036118,-92.98511,-1.0
18.994,0.0,10.926137,675.75,0.0,3.5294118,71.6,1,0.0,0.42500418,-9.137378,4.1308093,0.0,0.0,0,45.036118,-92.98511,-1.0
20.001,0.0,11.221438,675.75,0.0,3.5294118,71.6,1,0.0,0.43746185,-8.99234,4.1308093,0.0,0.0,0,45.036118,-92.98511,-1.0
